"","id","avr_age","avr_household_size","avr_education_level","avr_num_cars","avr_health","rented_percent","unemployment_percent","internet_percent","single_percent","married_percent","separated_percent","divorced_percent","widow_percent"
"16390","268006027",27.5105263157895,2.31764705882353,7.09375,1.30588235294118,4.72282608695652,48.8095238095238,10.4938271604938,95.2380952380952,64.7368421052632,33.1578947368421,1.05263157894737,1.05263157894737,0
"16837","268041009",36.3694029850746,2.7979797979798,4.13414634146341,1.16161616161616,4.48669201520913,7.29166666666667,10.3960396039604,83.5051546391753,57.4626865671642,32.4626865671642,2.98507462686567,1.11940298507463,5.97014925373134
"16838","268041010",44.6548387096774,2.36363636363636,3.62114537444934,0.992424242424242,4.39482200647249,7.57575757575758,9.88142292490119,68.4615384615385,44.8387096774194,40,2.90322580645161,2.25806451612903,10
"14312","267040015",34.1061946902655,2.69879518072289,5.41726618705036,1.46987951807229,4.61711711711712,15.6626506024096,8.04597701149425,89.1566265060241,52.212389380531,42.0353982300885,2.65486725663717,0.884955752212389,2.21238938053097
"17081","268060012",34.311004784689,2.98550724637681,5.47863247863248,1.33333333333333,4.64705882352941,15.9420289855072,7.59493670886076,84.0579710144928,59.3301435406699,34.9282296650718,0.956937799043062,1.43540669856459,3.34928229665072
"16662","268027012",38.2876254180602,2.42148760330579,5.0391061452514,1.19834710743802,4.61245674740484,27.8260869565217,5.85774058577406,77.3913043478261,58.8628762541806,34.7826086956522,1.33779264214047,1.00334448160535,4.0133779264214
"17082","268060013",39.9609756097561,2.36363636363636,5.13533834586466,0.943181818181818,4.49261083743842,5.81395348837209,6.45161290322581,67.8571428571429,56.0975609756098,30.2439024390244,3.41463414634146,1.95121951219512,8.29268292682927
"16834","268041006",37.1438596491228,2.8252427184466,3.7247191011236,1.14563106796116,4.42545454545455,8.91089108910891,10.8108108108108,81.1881188118812,51.2280701754386,37.1929824561403,2.80701754385965,3.15789473684211,5.6140350877193
"14206","267031015",26.0603015075377,2.40853658536585,6.05314009661836,1.07317073170732,4.62210796915167,60.126582278481,13.968253968254,92.7152317880795,65.3266331658292,30.6532663316583,1.75879396984925,2.01005025125628,0.251256281407035
"16392","268006029",29.0131578947368,2.17808219178082,7.05555555555556,1.06849315068493,4.59333333333333,47.2222222222222,7.08661417322835,88.5714285714286,67.1052631578947,27.6315789473684,1.97368421052632,1.97368421052632,1.31578947368421
"17083","268060014",40.1884057971015,2.63414634146341,4.97931034482759,1.26829268292683,4.57487922705314,15,7.42857142857143,86.25,54.5893719806763,36.7149758454106,2.89855072463768,2.89855072463768,2.89855072463768
"17955","268126007",32.005376344086,1.9468085106383,6.74149659863946,1.27659574468085,4.69021739130435,47.3118279569892,6.17283950617284,94.6808510638298,55.9139784946236,36.5591397849462,4.3010752688172,2.1505376344086,1.0752688172043
"14372","267041011",31.7262180974478,2.86274509803922,6.19344262295082,1.64705882352941,4.72261072261072,41.8300653594771,7.5,94.7019867549669,61.2529002320186,35.2668213457077,1.62412993039443,1.16009280742459,0.696055684454756
"16893","268045003",53.5439024390244,2.47457627118644,4.65319865319865,1.27118644067797,4.2275,24.5762711864407,4.17910447761194,75.6521739130435,52.6829268292683,32.9268292682927,0.975609756097561,2.19512195121951,11.219512195122
"16840","268041012",51.5333333333333,1.58823529411765,3.125,0.544117647058823,4.16346153846154,4.41176470588235,6.89655172413793,26.865671641791,52.3809523809524,25.7142857142857,7.61904761904762,4.76190476190476,9.52380952380952
"17205","268070016",33.5983146067416,3.58252427184466,5.02955665024631,1.76699029126214,4.73863636363636,14.5631067961165,5.31914893617021,97,51.9662921348315,44.3820224719101,0.561797752808989,1.68539325842697,1.40449438202247
